Algorithm, Run Number, Matrix size, Time, PAPI_L1_DCM, PAPI_L2_DCM,Blocksize,
3,3,10000,573.872,131391262707,20826011833,320,
3,4,10000,573.873,131381231709,20868829978,320,
3,5,10000,573.768,131382967133,20872713033,320,
3,6,10000,573.769,131380655147,20868983900,320,
3,7,10000,573.985,131372797229,20827061099,320,
3,8,10000,574.038,131372487413,20813157768,320,
3,9,10000,574.07,131371804754,20824287315,320,
3,3,10000,576.31,132403946411,18898590287,384,
3,4,10000,577.085,132403620523,18931725966,384,
3,5,10000,577.348,132402553564,18951513101,384,
3,6,10000,577.367,132401386215,18955641548,384,
3,7,10000,577.48,132401723852,18938174631,384,
3,8,10000,577.323,132404363693,18929947694,384,
3,9,10000,577.45,132404991833,18939516715,384,
3,3,10000,550.345,126351620667,16750249542,448,
3,4,10000,550.326,126352631646,16744270205,448,
3,5,10000,550.309,126352556865,16743886607,448,
3,6,10000,550.427,126351966500,16740478376,448,
3,7,10000,550.418,126351416987,16740789344,448,
3,8,10000,550.423,126351996055,16741530118,448,
3,9,10000,550.431,126351518843,16745020938,448,
3,3,10000,533.22,121593732548,15832950145,512,
3,4,10000,532.7,121606715756,15774086460,512,
3,5,10000,532.67,121600150501,15793494607,512,
3,6,10000,532.769,121596127761,15805752478,512,
3,7,10000,532.668,121594748910,15815926942,512,
3,8,10000,532.722,121612695606,15743004184,512,
3,9,10000,532.661,121597043354,15795732996,512,
